pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
BD+60 1417 b,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,1662,14.684,4767.4261,0.1,44.9543
BD+63 1405 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48,2.06,12.4,3305.41543,,38.0473
BD-00 4475 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.2,1.48,12,7961.6016,,42.6402
BD-06 1339 b,1,2,Radial Velocity,2013,La Silla Observatory,3.8728,0.0428,2.85,8.5,4.4,20.2695
BD-06 1339 c,1,2,Radial Velocity,2013,La Silla Observatory,125.94,0.435,8.38,53,4.4,20.2695
BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,5.6,0.06,3.61,12.7132,4.5,41.3342
BD-08 2823 c,1,2,Radial Velocity,2009,La Silla Observatory,237.6,0.68,12.5,104,4.5,41.3342
BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.04,14.1,187.5197,1,84.4069
BD-11 4672 b,1,2,Radial Velocity,2014,La Silla Observatory,1634,2.36,14.1,206.5895,7.4,27.1665
BD-11 4672 c,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.3,4.04,15.37,7.4,27.1665
BD-13 2130 b,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,1.66,12.5,3108.3774,0.74,925.214
BD-17 63 b,1,1,Radial Velocity,2008,La Silla Observatory,655.6,1.34,12.8,1620.9,4.3,34.4603
BD-210397 b,1,2,Radial Velocity,2023,La Silla Observatory,1891,2.63,14,214,6.2,23.7324
BD-210397 c,1,2,Radial Velocity,2023,La Silla Observatory,6240,5.9,12.9,1525.57635,4,23.7324
CD Cet b,1,1,Radial Velocity,2020,Calar Alto Observatory,2.2907,0.0185,1.82,3.95,3,8.60715
CFBDSIR J145829+101343 b,1,1,Imaging,2011,W. M. Keck Observatory,10037.5,2.6,12.4,3337.1,,23.1
CFHTWIR-Oph 98 b,1,1,Imaging,2021,Hubble Space Telescope,8040000,200,20.849,2479.06157,0.003,
CHXR 73 b,1,1,Imaging,2006,Hubble Space Telescope,,210,12.3,3994.486,0.002,190.374
CI Tau b,1,1,Radial Velocity,2019,Multiple Observatories,8.9891,,12.4,3686.828,0.003,157.998
COCONUTS-2 b,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000.00000000,7506,12.442,2002.31896,0.475,10.8864
CT Cha b,1,1,Imaging,2007,Paranal Observatory,,440,24.66,5403,0.002,190.72
CoRoT-1 b,1,1,Transit,2008,CoRoT,1.5089557,0.02752,16.7,327.35,1.6,787.909
CoRoT-10 b,1,1,Transit,2010,CoRoT,13.2406,0.1055,10.87,874,3,338.386
CoRoT-11 b,1,1,Transit,2010,CoRoT,2.99433,0.0436,16.03,740.51,2,655.037
