Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
05/16/2019,05/15/2019,2205,Wilshire,3037 4027 3003 3027 3029 3034 3101 3401 3701,57,M,W,STREET,MELROSE                      AV,GENESEE                      AV,"(34.0838, -118.3584)"
05/17/2019,05/17/2019,1355,Olympic,3003 3027 3035 3037 3101 3401 3701 4027,64,F,H,STREET,1ST                          ST,BIMINI                       PL,"(34.0731, -118.2905)"
05/18/2019,05/17/2019,2100,Southeast,3601 3003 3501 1218 3027,52,M,B,STREET,WILMINGTON                   AV,107TH                        ST,"(33.9389, -118.239)"
05/24/2019,05/24/2019,1220,Newton,3101 3401 3701 3004 3027 3036 3602,41,M,H,STREET,37TH                         PL,BROADWAY,"(34.014, -118.2756)"
05/30/2019,05/29/2019,2100,Southwest,3037 3011 4025 3034 3101 3027 3601 3602,19,F,B,STREET,LA CIENEGA                   BL,RODEO                        RD,"(34.0151, -118.3657)"
05/31/2019,05/31/2019,1400,Foothill,3008 3027 3037 3034 3101 3401 3701 4026 1218 3602,58,M,W,STREET,WEBB                         AV,CANTARA                      ST,"(34.2194, -118.391)"
06/01/2019,05/31/2019,2125,Hollenbeck,3101 3401 3701 3008 3027 3029 3036,24,M,H,STREET,LORENA                       ST,8TH                          ST,"(34.0216, -118.2048)"
06/03/2019,06/02/2019,1910,N Hollywood,3022 3037 3027 3101 3401 3701 4026 1218,64,M,W,STREET,COLDWATER CA                 AV,RAYMER                       ST,"(34.2037, -118.421)"
06/03/2019,06/03/2019,939,Wilshire,3701 3004 3027 3034 3036 3101 3401 4027,92,F,H,STREET,OLYMPIC                      BL,STANLEY                      AV,"(34.0575, -118.3589)"
06/04/2019,06/03/2019,2030,Mission,3009 3027 3036 3101 3401 3701 4026 3602,31,M,H,STREET,NORDHOFF                     ST,CEDROS                       AV,"(34.2355, -118.4536)"
06/04/2019,06/04/2019,30,Southwest,3601 3602 4025 3034 3006 3027 3101 3037 3038,26,F,H,STREET,CRENSHAW                     BL,50TH                         ST,"(33.9978, -118.3308)"
06/06/2019,06/06/2019,530,N Hollywood,3009 3027 3037 3038 3034 3101 3401 3701 4026 3029,20,M,H,STREET,VINELAND                     AV,VANOWEN                      ST,"(34.194, -118.3703)"
06/07/2019,06/07/2019,1520,N Hollywood,3009 3027 3101 3401 3701 4026 3602 3037,,,,STREET,MAGNOLIA                     BL,DENNY                        AV,"(34.1649, -118.3648)"
06/10/2019,06/09/2019,2220,Topanga,3004 3027 3034 3036 3101 3401 3701 4026,25,M,B,STREET,SATICOY                      ST,SHOUP                        AV,"(34.2083, -118.6147)"
06/10/2019,06/10/2019,1429,Newton,0605 3101 3401 3701 4024 3003 3029 3036 3027,87,M,O,STREET,9TH                          ST,CROCKER                      ST,"(34.0363, -118.2492)"
06/11/2019,06/10/2019,2130,77th Street,3027 3037 4025 3003 3029 3101 3501,59,F,B,STREET,MANCHESTER                   AV,CIMARRON                     ST,"(33.96, -118.3161)"
06/13/2019,06/12/2019,1625,Pacific,3011 3027 3034 3037 3101 3401 3701 4027,18,,,STREET,IMPERIAL                     HY,PERSHING                     DR,"(33.9309, -118.4292)"
06/14/2019,06/13/2019,2320,Newton,3101 3401 3701 3003 3027 3036 1218,35,M,H,STREET,VERNON,CROCKER,"(34.0039, -118.2687)"
06/14/2019,06/14/2019,1000,West LA,3003 3035 3037 3101 3401 3701 4027 3027,48,M,H,STREET,BEVERLY GLEN                 BL,BAINBRIDGE                   AV,"(34.08, -118.4344)"
